,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
French Onion Soup Gratinee,759.0,618,114.0,4.2,111.0,3.0,61.0,8.0,2000.0,543.0,29.7,4.7326922416687,91192/french-onion-soup-gratinee/,french,21.0,3336.0,11.0,0.0,French Onion Soup Gratinee,39.5,35.9,2758IU,0.0,31.0
French Bread,5.0,94,0.0,0.8,60.0,1.0,6.0,2.0,1000.0,41.0,2.9,4.52357339859009,6882/french-bread/,french,0.0,119.0,0.0,0.0,French Bread,19.5,0.3,1IU,0.0,0.0
Rich and Simple French Onion Soup,451.0,585,98.0,2.7,71.0,2.0,41.0,7.0,1000.0,432.0,20.9,4.59831237792969,13309/rich-and-simple-french-onion-soup/,french,24.0,1578.0,6.0,0.0,Rich and Simple French Onion Soup,27.9,43.9,1114IU,0.0,9.0
Ratatouille,271.0,251,18.0,7.4,71.0,2.0,71.0,6.0,1000.0,1049.0,12.7,4.448307514190669,18411/ratatouille/,french,5.0,327.0,13.0,0.0,Ratatouille,24.3,13.5,1350IU,0.0,56.0
Chocolate Ganache,10.0,142,21.0,1.2,1.0,0.0,1.0,0.0,1000.0,71.0,1.4,4.81244277954102,33647/chocolate-ganache/,french,7.0,6.0,7.0,0.0,Chocolate Ganache,9.4,10.8,220IU,0.0,0.0
Crepes,44.0,79,49.0,0.3,26.0,1.0,7.0,1.0,2000.0,74.0,3.7,4.765137672424321,27188/crepes/,french,1.0,30.0,2.0,0.0,Crepes,9.5,2.8,119IU,0.0,0.0
Soba with Toasted Sesame Seed Sauce,247.0,355,0.0,4.5,108.0,5.0,139.0,7.0,188.0,526.0,14.2,4.02551031112671,14024/soba-with-toasted-sesame-seed-sauce/,japanese,2.0,1037.0,6.0,0.0,Soba with Toasted Sesame Seed Sauce,57.3,10.9,618IU,0.0,65.0
Miso Salmon,98.0,719,132.0,2.8,70.0,3.0,97.0,27.0,81.0,956.0,50.5,4.423728942871089,106227/miso-salmon/,japanese,7.0,2247.0,24.0,1.0,Miso Salmon,34.9,40.5,152IU,2.0,9.0
Teriyaki Rib Eye Steaks,19.0,297,60.0,0.2,8.0,2.0,26.0,4.0,101.0,336.0,19.6,4.5,107586/teriyaki-rib-eye-steaks/,japanese,7.0,992.0,12.0,0.0,Teriyaki Rib Eye Steaks,13.5,18.1,4IU,0.0,1.0
Japanese Ginger Pork,15.0,289,55.0,0.1,5.0,1.0,22.0,8.0,40.0,298.0,18.8,4.38888883590698,87392/japanese-ginger-pork/,japanese,5.0,491.0,3.0,1.0,Japanese Ginger Pork,3.6,20.1,6IU,0.0,0.0
Chicken Katsu,20.0,297,118.0,0.1,16.0,1.0,27.0,17.0,1000.0,239.0,31.2,4.67315196990967,72068/chicken-katsu/,japanese,2.0,251.0,0.0,0.0,Chicken Katsu,22.2,11.4,79IU,1.0,0.0
Chicken Yakisoba,91.0,503,29.0,7.2,82.0,3.0,64.0,11.0,361.0,579.0,26.5,4.54966878890991,230764/chicken-yakisoba/,japanese,2.0,3868.0,10.0,0.0,Chicken Yakisoba,69.8,16.5,6151IU,1.0,46.0
Quick Oyakodon,103.0,619,221.0,5.5,296.0,8.0,77.0,18.0,34.0,574.0,31.0,4.40740728378296,71160/quick-oyakodon/,japanese,2.0,2283.0,19.0,1.0,Quick Oyakodon,106.1,6.7,667IU,1.0,18.0
Tonkatsu - Asian-Style Pork Chop,26.0,276,109.0,0.0,12.0,1.0,26.0,10.0,193.0,424.0,28.4,4.40268468856812,58793/tonkatsu-asian-style-pork-chop/,japanese,4.0,199.0,0.0,1.0,Tonkatsu - Asian-Style Pork Chop,14.3,13.2,67IU,0.0,0.0
Japanese Okonomiyaki,138.0,659,217.0,8.3,293.0,7.0,63.0,14.0,57.0,717.0,29.3,3.86153841018677,99392/japanese-okonomiyaki/,japanese,6.0,1531.0,11.0,1.0,Japanese Okonomiyaki,90.7,19.4,495IU,0.0,83.0
Yakisoba Chicken,69.0,295,46.0,3.0,68.0,2.0,80.0,16.0,784.0,565.0,26.3,4.2952184677124,8628/yakisoba-chicken/,japanese,1.0,1621.0,6.0,0.0,Yakisoba Chicken,40.7,4.8,3488IU,1.0,32.0
Sesame Seared Tuna,207.0,422,77.0,2.3,22.0,4.0,155.0,26.0,590.0,879.0,44.1,4.67895889282227,71698/sesame-seared-tuna/,japanese,3.0,1045.0,6.0,1.0,Sesame Seared Tuna,13.2,20.7,92IU,2.0,1.0
Japanese-Style Deep-Fried Shrimp,80.0,630,250.0,1.5,77.0,3.0,47.0,6.0,453.0,287.0,28.3,4.832764625549321,127500/japanese-style-deep-fried-shrimp/,japanese,6.0,763.0,0.0,0.0,Japanese-Style Deep-Fried Shrimp,53.7,36.6,590IU,0.0,2.0
Japanese Beef Stir-Fry,91.0,290,39.0,2.6,91.0,4.0,46.0,10.0,393.0,568.0,26.4,4.54883718490601,212636/japanese-beef-stir-fry/,japanese,2.0,1271.0,7.0,0.0,Japanese Beef Stir-Fry,26.4,7.6,3572IU,1.0,67.0
Sushi Roll,12.0,152,6.0,2.4,62.0,1.0,25.0,2.0,201.0,186.0,3.9,4.40104150772095,24228/sushi-roll/,japanese,1.0,703.0,7.0,0.0,Sushi Roll,25.8,3.9,132IU,0.0,3.0
Gyoza,30.0,184,37.0,1.2,37.0,1.0,16.0,4.0,226.0,156.0,7.9,4.43548393249512,27190/gyoza/,japanese,2.0,546.0,1.0,0.0,Gyoza,18.5,8.5,582IU,0.0,7.0
Glo's Sausage Fried Rice,93.0,540,155.0,4.8,139.0,4.0,46.0,6.0,168.0,476.0,17.3,4.48765420913696,47022/glos-sausage-fried-rice/,japanese,10.0,943.0,5.0,1.0,Glo's Sausage Fried Rice,46.4,31.7,5230IU,0.0,43.0
Sesame Crusted Mahi Mahi with Soy Shiso Ginger Butter Sauce,189.0,502,192.0,2.6,28.0,4.0,88.0,18.0,134.0,930.0,35.6,4.72413778305054,42231/sesame-crusted-mahi-mahi-with-soy-shiso-ginger-butter-sauce/,japanese,16.0,776.0,1.0,0.0,Sesame Crusted Mahi Mahi with Soy Shiso Ginger Butter Sauce,11.0,34.6,1401IU,1.0,16.0
Oyako Donburi,64.0,278,282.0,1.7,58.0,2.0,51.0,17.0,145.0,524.0,29.6,4.67479658126831,43628/oyako-donburi/,japanese,3.0,1349.0,9.0,0.0,Oyako Donburi,15.7,10.8,3000IU,1.0,6.0
Oyakodon (Japanese Chicken and Egg Rice Bowl),80.0,688,208.0,2.2,57.0,3.0,46.0,11.0,199.0,510.0,35.3,4.53508758544922,128589/oyakodon-japanese-chicken-and-egg-rice-bowl/,japanese,4.0,1226.0,17.0,0.0,Oyakodon (Japanese Chicken and Egg Rice Bowl),97.9,14.6,311IU,0.0,4.0
Ashley's Chicken Katsu with Tonkatsu Sauce,127.0,718,136.0,1.6,92.0,7.0,53.0,17.0,127.0,947.0,30.2,4.23893785476685,75981/ashleys-chicken-katsu-with-tonkatsu-sauce/,japanese,7.0,2290.0,15.0,0.0,Ashley's Chicken Katsu with Tonkatsu Sauce,73.1,36.8,594IU,0.0,15.0
Moroccan Lentil Soup,121.0,329,0.0,18.0,255.0,6.0,107.0,4.0,499.0,923.0,18.3,4.37618160247803,12960/moroccan-lentil-soup/,north-african,1.0,317.0,5.0,0.0,Moroccan Lentil Soup,56.5,3.6,2181IU,1.0,16.0
Marrakesh Vegetable Curry,130.0,330,0.0,10.5,189.0,11.0,120.0,4.0,596.0,1084.0,8.0,4.55941486358643,13988/marrakesh-vegetable-curry/,north-african,2.0,874.0,13.0,0.0,Marrakesh Vegetable Curry,39.0,18.0,12444IU,1.0,89.0
Slow Cooker Chicken Marrakesh,89.0,290,66.0,6.3,47.0,3.0,75.0,20.0,936.0,886.0,30.6,4.18145942687988,218769/slow-cooker-chicken-marrakesh/,north-african,0.0,625.0,7.0,0.0,Slow Cooker Chicken Marrakesh,36.0,2.0,19569IU,1.0,12.0
Moroccan Tagine,146.0,265,20.0,8.1,99.0,4.0,87.0,7.0,407.0,905.0,14.1,4.425000190734861,69633/moroccan-tagine/,north-african,1.0,878.0,9.0,0.0,Moroccan Tagine,44.7,4.3,20359IU,1.0,46.0
Moroccan Chicken,99.0,286,67.0,6.3,86.0,4.0,84.0,22.0,358.0,1086.0,36.0,4.305232524871831,18182/moroccan-chicken/,north-african,1.0,2128.0,5.0,0.0,Moroccan Chicken,27.9,3.7,5893IU,1.0,24.0
Lamb Tagine,76.0,423,109.0,4.6,48.0,4.0,50.0,14.0,410.0,659.0,35.8,4.66666650772095,105044/lamb-tagine/,north-african,5.0,1129.0,11.0,0.0,Lamb Tagine,23.6,20.5,13396IU,0.0,13.0
Make-Ahead Vegetarian Moroccan Stew,196.0,543,5.0,24.0,252.0,7.0,149.0,8.0,362.0,2046.0,19.5,4.54915237426758,217109/make-ahead-vegetarian-moroccan-stew/,north-african,2.0,1218.0,23.0,1.0,Make-Ahead Vegetarian Moroccan Stew,110.6,4.2,26614IU,1.0,80.0
Chakchouka (Shakshouka),60.0,209,164.0,3.1,53.0,2.0,31.0,3.0,559.0,511.0,7.8,4.610526084899901,213717/chakchouka-shakshouka/,north-african,3.0,654.0,7.0,0.0,Chakchouka (Shakshouka),12.9,15.0,1678IU,0.0,65.0
Chicken Tagine,50.0,380,65.0,4.2,29.0,2.0,41.0,10.0,189.0,500.0,22.3,4.21505355834961,180014/chicken-tagine/,north-african,4.0,571.0,14.0,0.0,Chicken Tagine,38.5,15.2,6494IU,0.0,8.0
Moroccan Chicken and Whole Grain Couscous,91.0,399,67.0,7.8,94.0,4.0,74.0,15.0,140.0,739.0,33.4,4.374149799346919,83565/moroccan-chicken-and-whole-grain-couscous/,north-african,1.0,1539.0,4.0,0.0,Moroccan Chicken and Whole Grain Couscous,50.7,6.7,4054IU,1.0,18.0
Harira,86.0,467,116.0,13.3,222.0,6.0,81.0,11.0,153.0,689.0,29.4,4.551723957061769,13443/harira/,north-african,6.0,594.0,6.0,0.0,Harira,50.0,16.7,1170IU,1.0,38.0
Moroccan Couscous,53.0,246,0.0,5.2,31.0,2.0,49.0,3.0,136.0,447.0,8.4,4.496350288391111,105045/moroccan-couscous/,north-african,0.0,263.0,10.0,0.0,Moroccan Couscous,48.1,2.6,208IU,0.0,30.0
Spanish Moroccan Fish,105.0,268,70.0,3.3,48.0,3.0,82.0,9.0,165.0,1078.0,41.7,4.40157461166382,133895/spanish-moroccan-fish/,north-african,1.0,381.0,3.0,0.0,Spanish Moroccan Fish,12.6,5.1,3209IU,1.0,38.0
Fava Bean Breakfast Spread,34.0,101,0.0,3.5,37.0,1.0,32.0,2.0,72.0,316.0,4.6,4.59756088256836,17596/fava-bean-breakfast-spread/,north-african,1.0,322.0,2.0,0.0,Fava Bean Breakfast Spread,13.6,3.7,477IU,0.0,14.0
25-Minute Tunisian Vegetable Couscous,84.0,387,,8.8,86.0,3.0,68.0,6.0,72.0,487.0,13.6,4.14666652679443,168959/25-minute-tunisian-vegetable-couscous/,north-african,1.0,699.0,5.0,0.0,25-Minute Tunisian Vegetable Couscous,72.1,4.9,2045IU,1.0,53.0
Moroccan Chickpea Stew,296.0,476,0.0,13.6,130.0,9.0,120.0,7.0,129.0,1832.0,15.7,4.66197204589844,217947/moroccan-chickpea-stew/,north-african,1.0,1263.0,27.0,0.0,Moroccan Chickpea Stew,96.1,6.5,18799IU,1.0,170.0
Cold Roasted Moroccan Spiced Salmon,25.0,225,84.0,0.3,35.0,1.0,46.0,18.0,68.0,755.0,30.2,4.42028999328613,110025/cold-roasted-moroccan-spiced-salmon/,north-african,2.0,261.0,1.0,0.0,Cold Roasted Moroccan Spiced Salmon,2.2,9.8,74IU,1.0,1.0
Algerian Carrots,55.0,157,0.0,4.8,22.0,1.0,17.0,1.0,92.0,370.0,1.3,4.1904764175415,99244/algerian-carrots/,north-african,2.0,476.0,5.0,0.0,Algerian Carrots,13.5,11.6,25786IU,0.0,6.0
Bissara,62.0,371,0.0,19.5,219.0,4.0,93.0,6.0,52.0,810.0,18.7,4.20634937286377,104405/bissara/,north-african,2.0,18.0,6.0,1.0,Bissara,46.3,13.5,1317IU,0.0,16.0
Adriel's Chinese Curry Chicken,34.0,241,46.0,3.2,26.0,2.0,47.0,10.0,126.0,634.0,20.1,4.61971807479858,214774/adriels-chinese-curry-chicken/,chinese,2.0,864.0,3.0,0.0,Adriel's Chinese Curry Chicken,24.1,7.1,21IU,1.0,24.0
General Tsao's Chicken II,58.0,634,101.0,0.8,14.0,3.0,26.0,9.0,2000.0,530.0,24.3,4.754337787628169,91499/general-tsaos-chicken-ii/,chinese,6.0,1192.0,18.0,0.0,General Tsao's Chicken II,54.9,36.5,133IU,0.0,8.0
Sweet and Sour Pork III,57.0,663,43.0,2.3,31.0,1.0,34.0,6.0,1000.0,516.0,13.9,4.7032642364502,31144/sweet-and-sour-pork-iii/,chinese,7.0,1085.0,52.0,0.0,Sweet and Sour Pork III,74.7,35.0,485IU,0.0,36.0
Honey Walnut Shrimp,69.0,605,179.0,1.5,19.0,3.0,65.0,5.0,714.0,317.0,26.1,4.51214551925659,93234/honey-walnut-shrimp/,chinese,4.0,340.0,45.0,0.0,Honey Walnut Shrimp,68.0,26.3,247IU,0.0,2.0
Moo Goo Gai Pan,72.0,409,86.0,8.3,106.0,5.0,64.0,23.0,108.0,800.0,41.7,4.37634420394897,165846/moo-goo-gai-pan/,chinese,3.0,990.0,9.0,0.0,Moo Goo Gai Pan,30.9,14.3,397IU,1.0,55.0
Crispy Orange Beef,122.0,507,60.0,5.9,197.0,5.0,79.0,11.0,1000.0,983.0,27.4,4.47152853012085,57966/crispy-orange-beef/,chinese,5.0,651.0,17.0,0.0,Crispy Orange Beef,59.2,18.7,1280IU,1.0,189.0
Restaurant Style Beef and Broccoli,61.0,331,52.0,3.0,79.0,3.0,45.0,8.0,2000.0,683.0,21.7,4.4359230995178205,191156/restaurant-style-beef-and-broccoli/,chinese,5.0,419.0,3.0,0.0,Restaurant Style Beef and Broccoli,13.3,21.1,707IU,1.0,102.0
Chicken Broccoli Ca - Unieng's Style,111.0,170,33.0,2.5,82.0,2.0,44.0,10.0,266.0,520.0,16.2,4.32456159591675,46819/chicken-broccoli-ca-uniengs-style/,chinese,1.0,418.0,3.0,0.0,Chicken Broccoli Ca - Unieng's Style,9.8,7.9,3422IU,1.0,75.0
Chinese Barbeque Pork (Char Siu),57.0,513,90.0,0.8,14.0,3.0,40.0,10.0,89.0,504.0,26.0,4.72222232818604,258494/chinese-barbeque-pork-char-siu/,chinese,8.0,2421.0,42.0,1.0,Chinese Barbeque Pork (Char Siu),49.1,21.9,165IU,0.0,3.0
Szechwan Shrimp,46.0,142,164.0,0.4,9.0,3.0,35.0,3.0,3000.0,230.0,18.3,4.42688655853271,86230/szechwan-shrimp/,chinese,1.0,500.0,4.0,0.0,Szechwan Shrimp,6.7,4.4,476IU,0.0,5.0
Chinese Chicken Fried Rice II,31.0,255,83.0,1.0,60.0,2.0,26.0,6.0,4000.0,172.0,14.1,4.39255571365356,16954/chinese-chicken-fried-rice-ii/,chinese,3.0,516.0,1.0,0.0,Chinese Chicken Fried Rice II,25.9,10.2,169IU,0.0,2.0
Kung Pao Chicken,49.0,437,66.0,4.2,60.0,2.0,93.0,23.0,1000.0,621.0,34.4,4.28528547286987,9027/kung-pao-chicken/,chinese,4.0,596.0,7.0,0.0,Kung Pao Chicken,25.3,23.3,174IU,1.0,6.0
Asian Beef with Snow Peas,34.0,203,39.0,1.5,23.0,3.0,32.0,6.0,1000.0,343.0,16.0,4.30254030227661,15679/asian-beef-with-snow-peas/,chinese,3.0,711.0,6.0,0.0,Asian Beef with Snow Peas,9.7,10.0,66IU,0.0,26.0
Sweet and Sour Chicken I,158.0,639,160.0,1.8,86.0,4.0,82.0,40.0,1000.0,742.0,59.2,4.50506734848022,8536/sweet-and-sour-chicken-i/,chinese,3.0,759.0,24.0,0.0,Sweet and Sour Chicken I,56.2,18.4,201IU,1.0,29.0
Mongolian Beef and Spring Onions,130.0,391,27.0,3.3,81.0,4.0,52.0,8.0,1000.0,606.0,18.0,4.61104440689087,201849/mongolian-beef-and-spring-onions/,chinese,3.0,1862.0,39.0,0.0,Mongolian Beef and Spring Onions,54.7,12.1,1122IU,0.0,22.0
Chinese Pepper Steak,25.0,312,69.0,1.7,26.0,4.0,45.0,10.0,1000.0,647.0,26.1,4.57202196121216,172704/chinese-pepper-steak/,chinese,3.0,972.0,10.0,0.0,Chinese Pepper Steak,17.0,15.4,490IU,1.0,32.0
Grilled Asian Chicken,18.0,217,67.0,0.2,6.0,1.0,31.0,16.0,645.0,255.0,25.7,4.47916650772095,8919/grilled-asian-chicken/,chinese,1.0,961.0,9.0,0.0,Grilled Asian Chicken,10.6,7.6,17IU,1.0,1.0
Black Pepper Beef and Cabbage Stir Fry,52.0,280,48.0,3.1,57.0,2.0,29.0,6.0,834.0,380.0,11.6,4.24478197097778,50233/black-pepper-beef-and-cabbage-stir-fry/,chinese,7.0,547.0,4.0,0.0,Black Pepper Beef and Cabbage Stir Fry,9.5,22.1,1021IU,0.0,72.0
"Super-Simple, Super-Spicy Mongolian Beef",29.0,200,25.0,1.2,18.0,2.0,25.0,6.0,500.0,289.0,15.4,4.56839609146118,148831/super-simple-super-spicy-mongolian-beef/,chinese,3.0,996.0,4.0,0.0,"Super-Simple, Super-Spicy Mongolian Beef",7.9,11.9,1061IU,0.0,5.0
Slow Cooker Mongolian Beef,94.0,450,47.0,2.2,43.0,3.0,56.0,12.0,508.0,620.0,28.0,3.94177222251892,195083/slow-cooker-mongolian-beef/,chinese,4.0,2391.0,38.0,0.0,Slow Cooker Mongolian Beef,55.4,13.0,190IU,1.0,6.0
Coconut Coconut Milk Cake,80.0,241,51.0,1.1,26.0,1.0,15.0,1.0,112.0,82.0,2.8,4.6097559928894,237023/coconut-coconut-milk-cake/,south-american,10.0,289.0,17.0,0.0,Coconut Coconut Milk Cake,26.4,14.6,277IU,0.0,0.0
Argentine Meat Empanadas,28.0,498,73.0,1.5,51.0,3.0,22.0,7.0,131.0,213.0,14.7,4.16964292526245,12512/argentine-meat-empanadas/,south-american,10.0,326.0,4.0,0.0,Argentine Meat Empanadas,27.7,36.8,455IU,0.0,2.0
"Silpancho from Cochabamba, Bolivia",207.0,928,235.0,9.6,284.0,10.0,125.0,21.0,9.0,1615.0,43.1,4.75,255744/silpancho-from-cochabamba-bolivia/,south-american,6.0,558.0,10.0,1.0,"Silpancho from Cochabamba, Bolivia",133.8,23.7,733IU,1.0,73.0
Brazilian Cheese Rolls (Pao de Queijo),166.0,199,36.0,0.0,5.0,0.0,8.0,1.0,78.0,34.0,5.8,4.52631568908691,221430/brazilian-cheese-rolls-pao-de-queijo/,south-american,4.0,386.0,0.0,0.0,Brazilian Cheese Rolls (Pao de Queijo),17.2,12.0,124IU,0.0,0.0
Chef John's Chimichurri Sauce,52.0,255,0.0,0.8,27.0,1.0,14.0,0.0,331.0,153.0,1.0,4.82539701461792,236375/chef-johns-chimichurri-sauce/,south-american,4.0,304.0,0.0,0.0,Chef John's Chimichurri Sauce,3.0,27.3,1812IU,0.0,25.0
Bolivian Saltenas,48.0,482,108.0,4.0,119.0,4.0,39.0,9.0,43.0,480.0,16.6,4.0303030014038095,216872/bolivian-saltenas/,south-american,10.0,551.0,12.0,0.0,Bolivian Saltenas,59.0,20.3,1347IU,0.0,17.0
Peruvian Arroz con Pollo,78.0,739,136.0,3.5,155.0,5.0,77.0,21.0,96.0,723.0,45.7,4.46875,204963/peruvian-arroz-con-pollo/,south-american,7.0,198.0,6.0,1.0,Peruvian Arroz con Pollo,65.2,29.7,3664IU,1.0,39.0
Colombian Stewed Flank,45.0,236,36.0,2.1,23.0,3.0,32.0,6.0,47.0,466.0,15.4,4.3513512611389205,143611/colombian-stewed-flank/,south-american,4.0,770.0,5.0,0.0,Colombian Stewed Flank,9.2,15.6,659IU,0.0,14.0
Suspiro Limeno,359.0,401,109.0,0.1,21.0,0.0,34.0,3.0,16.0,461.0,11.6,4.16666650772095,142175/suspiro-limeno/,south-american,7.0,171.0,62.0,0.0,Suspiro Limeno,62.4,11.9,401IU,0.0,3.0
Quinoa and Black Beans,41.0,153,0.0,7.8,61.0,2.0,35.0,2.0,7000.0,333.0,7.7,4.64437437057495,49552/quinoa-and-black-beans/,south-american,0.0,517.0,2.0,0.0,Quinoa and Black Beans,27.8,1.7,362IU,0.0,5.0
Mom's Stovetop Pork Ribs,157.0,461,125.0,3.4,85.0,6.0,64.0,14.0,674.0,710.0,33.5,4.55195903778076,75811/moms-stovetop-pork-ribs/,south-american,12.0,1327.0,1.0,0.0,Mom's Stovetop Pork Ribs,10.7,32.0,4031IU,1.0,74.0
Brazilian Black Bean Stew,162.0,508,31.0,17.8,134.0,8.0,109.0,9.0,510.0,1476.0,22.8,4.653276920318599,71808/brazilian-black-bean-stew/,south-american,5.0,1538.0,17.0,1.0,Brazilian Black Bean Stew,70.7,15.0,23932IU,1.0,91.0
Brazilian Chicken with Coconut Milk,62.0,345,72.0,2.8,49.0,3.0,52.0,18.0,572.0,624.0,29.3,4.27737236022949,58647/brazilian-chicken-with-coconut-milk/,south-american,7.0,234.0,4.0,0.0,Brazilian Chicken with Coconut Milk,11.5,19.9,2301IU,1.0,38.0
Brazilian Lemonade,61.0,152,5.0,0.9,4.0,0.0,9.0,0.0,442.0,90.0,1.4,4.71250009536743,54083/brazilian-lemonade/,south-american,1.0,28.0,33.0,0.0,Brazilian Lemonade,36.2,1.3,55IU,0.0,10.0
Brazilian White Rice,19.0,201,0.0,0.7,107.0,2.0,13.0,3.0,418.0,61.0,3.4,4.40749979019165,144308/brazilian-white-rice/,south-american,1.0,297.0,0.0,0.0,Brazilian White Rice,37.5,3.7,0IU,0.0,0.0
Brazilian Fish Stew,116.0,359,42.0,4.8,41.0,6.0,93.0,7.0,441.0,1079.0,27.4,4.39945650100708,190412/brazilian-fish-stew/,south-american,14.0,600.0,6.0,0.0,Brazilian Fish Stew,15.6,21.8,2394IU,1.0,105.0
Brigadeiro,57.0,70,8.0,0.3,2.0,0.0,9.0,0.0,483.0,85.0,1.7,4.3641791343689,24052/brigadeiro/,south-american,2.0,29.0,11.0,0.0,Brigadeiro,11.1,2.4,70IU,0.0,1.0
Brazilian Cheese Bread (Pao de Queijo),131.0,385,71.0,0.0,9.0,1.0,9.0,1.0,566.0,67.0,6.3,4.38372087478638,98554/brazilian-cheese-bread-pao-de-queijo/,south-american,5.0,555.0,1.0,0.0,Brazilian Cheese Bread (Pao de Queijo),39.9,22.6,146IU,0.0,0.0
Chimichurri Sauce,23.0,133,0.0,0.5,10.0,1.0,6.0,0.0,318.0,53.0,0.3,4.54460096359253,68003/chimichurri-sauce/,south-american,2.0,201.0,0.0,0.0,Chimichurri Sauce,1.3,14.2,487IU,0.0,7.0
Fried Empanadas,14.0,528,33.0,1.1,48.0,2.0,13.0,4.0,231.0,138.0,8.0,4.5144510269165,71805/fried-empanadas/,south-american,7.0,169.0,2.0,0.0,Fried Empanadas,21.4,46.2,324IU,0.0,1.0
Refined Sugar Free-Mango Sticky Rice,29.0,332,0.0,4.0,25.0,4.0,53.0,2.0,0.0,398.0,4.0,0.0,256566/refined-sugar-free-mango-sticky-rice/,thai,14.0,159.0,20.0,0.0,Refined Sugar Free-Mango Sticky Rice,45.7,16.8,575IU,0.0,22.0
Khao Man Gai Thai Chicken and Rice (Healthy Version),99.0,807,59.0,4.8,45.0,5.0,82.0,14.0,0.0,937.0,37.6,0.0,257375/khao-man-gai-thai-chicken-and-rice-healthy-version/,thai,2.0,3154.0,26.0,0.0,Khao Man Gai Thai Chicken and Rice (Healthy Version),137.6,12.4,1951IU,1.0,340.0
Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),75.0,377,157.0,1.0,21.0,1.0,52.0,8.0,2.0,258.0,20.5,4.5,245888/goong-tod-kratiem-prik-thai-prawns-fried-with-garlic-and-white-pepper/,thai,4.0,1118.0,4.0,0.0,Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),19.5,24.7,169IU,0.0,3.0
Yam Taeng (Spicy Cucumber Salad),141.0,347,8.0,10.2,537.0,7.0,304.0,7.0,2.0,1253.0,22.5,5.0,213923/yam-taeng-spicy-cucumber-salad/,thai,1.0,625.0,4.0,1.0,Yam Taeng (Spicy Cucumber Salad),57.9,4.5,365IU,0.0,28.0
Pad Kee Mow (Drunkard's Noodles),74.0,301,20.0,2.5,41.0,3.0,49.0,6.0,51.0,338.0,11.8,4.48717927932739,220443/pad-kee-mow-drunkards-noodles/,thai,1.0,1204.0,5.0,0.0,Pad Kee Mow (Drunkard's Noodles),44.9,8.3,2347IU,0.0,38.0
Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),65.0,817,0.0,6.4,213.0,7.0,92.0,6.0,351.0,561.0,8.4,4.520161151885991,150313/thai-sweet-sticky-rice-with-mango-khao-neeo-mamuang/,thai,22.0,458.0,76.0,1.0,Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),144.3,26.0,1188IU,0.0,44.0
Thai Carrot Salad,32.0,183,0.0,2.7,27.0,1.0,32.0,2.0,17.0,288.0,3.5,4.800000190734861,239964/thai-carrot-salad/,thai,1.0,332.0,28.0,0.0,Thai Carrot Salad,34.3,5.4,9951IU,0.0,6.0
Thai Chicken Satay,41.0,391,66.0,3.0,38.0,3.0,103.0,23.0,72.0,607.0,35.4,4.33333349227905,90294/thai-chicken-satay/,thai,9.0,315.0,0.0,0.0,Thai Chicken Satay,9.3,25.0,81IU,1.0,9.0
Thai Red Curry Paste,60.0,103,2.0,3.9,25.0,2.0,23.0,1.0,7.0,271.0,2.6,4.0,239501/thai-red-curry-paste/,thai,1.0,593.0,5.0,0.0,Thai Red Curry Paste,15.0,4.3,896IU,0.0,12.0
Curried Coconut Chicken,67.0,375,78.0,2.8,25.0,5.0,75.0,16.0,5000.0,647.0,32.2,4.49371671676636,68532/curried-coconut-chicken/,thai,14.0,807.0,11.0,0.0,Curried Coconut Chicken,16.7,20.9,287IU,0.0,10.0
Peanut Butter Noodles,31.0,330,0.0,1.9,29.0,1.0,43.0,5.0,1000.0,275.0,10.7,4.46728992462158,11835/peanut-butter-noodles/,thai,2.0,1188.0,9.0,0.0,Peanut Butter Noodles,46.8,12.0,63IU,0.0,2.0
The Best Thai Coconut Soup,50.0,368,86.0,2.0,28.0,7.0,94.0,5.0,2000.0,451.0,13.2,4.6136155128479,146035/the-best-thai-coconut-soup/,thai,28.0,579.0,2.0,0.0,The Best Thai Coconut Soup,8.9,32.9,199IU,0.0,5.0
Pad Thai,62.0,524,178.0,2.9,52.0,2.0,60.0,15.0,1000.0,394.0,26.4,3.92959761619568,42968/pad-thai/,thai,6.0,594.0,8.0,0.0,Pad Thai,58.5,20.7,460IU,1.0,19.0
Chicken Satay,24.0,162,68.0,0.7,11.0,1.0,45.0,19.0,575.0,374.0,28.8,4.23602485656738,17511/chicken-satay/,thai,1.0,694.0,2.0,0.0,Chicken Satay,4.1,3.0,44IU,1.0,6.0
Spicy Thai Basil Chicken (Pad Krapow Gai),99.0,715,156.0,1.4,133.0,5.0,92.0,23.0,1000.0,670.0,49.8,4.77094030380249,257938/spicy-thai-basil-chicken-pad-krapow-gai/,thai,7.0,1182.0,6.0,0.0,Spicy Thai Basil Chicken (Pad Krapow Gai),58.6,30.0,1568IU,1.0,31.0
